level_0,Time,C6_avg,psi6,V,S-1,S0
62,309.9999,5.54667,0.99547,4.0,2.0,2.0
63,314.9999,5.54667,0.99329,4.0,2.0,2.0
64,319.9999,5.54667,0.99505,4.0,2.0,2.0
65,324.9999,5.54,0.99303,4.0,2.0,2.0
66,329.9999,5.526669999999998,0.9858,4.0,1.0,2.0
67,334.9999,5.526669999999998,0.98748,4.0,1.0,2.0
68,339.9999,5.526669999999998,0.98577,4.0,1.0,2.0
69,344.9999,5.54,0.99618,4.0,2.0,2.0
70,349.9999,5.54,0.99536,4.0,2.0,2.0
71,354.9999,5.54,0.99593,4.0,2.0,2.0
72,359.9999,5.54,0.99513,4.0,2.0,2.0
73,364.9999,5.54,0.99438,4.0,2.0,2.0
74,369.9999,5.54,0.99465,4.0,2.0,2.0
75,374.9999,5.54,0.99412,4.0,2.0,2.0
76,379.9999,5.54,0.99442,4.0,2.0,2.0
77,384.9999,5.54,0.99502,4.0,2.0,2.0
78,389.9999,5.54,0.99415,4.0,2.0,2.0
79,394.9999,5.54,0.9940000000000001,4.0,2.0,2.0
80,399.9999,5.54,0.99425,4.0,2.0,2.0
81,404.9999,5.54,0.99483,4.0,2.0,2.0
82,409.9999,5.54,0.99586,4.0,2.0,2.0
83,414.9999,5.54,0.99502,4.0,2.0,2.0
84,419.9999,5.54,0.99267,4.0,2.0,2.0
85,424.9999,5.54,0.99557,4.0,2.0,2.0
86,429.9999,5.54,0.99475,4.0,2.0,1.0
87,434.9999,5.54,0.99442,4.0,2.0,2.0
88,439.9999,5.54,0.99411,4.0,2.0,2.0
89,444.9999,5.54,0.99091,4.0,2.0,2.0
91,454.9999,5.54,0.99135,4.0,2.0,2.0
92,459.9999,5.54,0.99536,4.0,2.0,2.0
93,464.9999,5.54,0.99391,4.0,2.0,2.0
94,469.9999,5.54,0.99463,4.0,2.0,2.0
95,474.9999,5.54,0.99454,4.0,2.0,2.0
96,479.9999,5.54,0.99522,4.0,2.0,2.0
97,484.9999,5.54,0.99198,4.0,2.0,2.0
98,489.9999,5.54,0.99455,4.0,2.0,2.0
99,494.9999,5.54,0.99308,4.0,2.0,2.0
100,499.9999,5.54,0.99287,4.0,2.0,2.0
101,504.9999,5.54,0.99365,4.0,2.0,2.0
102,509.9999,5.54,0.99411,4.0,2.0,2.0
103,514.9999,5.54,0.99565,4.0,2.0,2.0
104,519.9999,5.54,0.99559,4.0,2.0,2.0
105,524.9999,5.54,0.99467,4.0,2.0,2.0
106,529.9999,5.54,0.99252,4.0,2.0,2.0
107,534.9999,5.54,0.99415,4.0,2.0,2.0
108,539.9999,5.54,0.99247,4.0,2.0,2.0
109,544.9999,5.54,0.99514,4.0,2.0,2.0
110,549.9999,5.54,0.99533,4.0,2.0,2.0
111,554.9999,5.54,0.99106,4.0,2.0,2.0
112,559.9999,5.54,0.99548,4.0,2.0,2.0
113,564.9999,5.54,0.99325,4.0,2.0,1.0
114,569.9999,5.54,0.99186,4.0,2.0,2.0
115,574.9999,5.526669999999998,0.9901,4.0,2.0,2.0
116,579.9999,5.526669999999998,0.98869,4.0,1.0,2.0
117,584.9999,5.54667,0.99619,4.0,2.0,2.0
118,589.9999,5.54667,0.99518,4.0,2.0,2.0
119,594.9999,5.54667,0.99504,4.0,2.0,2.0
120,599.9999,5.54667,0.98997,4.0,1.0,2.0
121,604.9999,5.54667,0.99352,4.0,2.0,2.0
122,609.9999,5.54667,0.99442,4.0,2.0,2.0
123,614.9999,5.54667,0.99364,4.0,2.0,2.0
124,619.9999,5.54667,0.99516,4.0,2.0,2.0
125,624.9999,5.54667,0.99525,4.0,2.0,2.0
126,629.9999,5.54667,0.99318,4.0,2.0,2.0
127,634.9999,5.54667,0.99301,4.0,2.0,2.0
128,639.9999,5.54667,0.99375,4.0,2.0,2.0
129,644.9999,5.54667,0.99567,4.0,2.0,2.0
131,654.9999,5.54667,0.99537,4.0,2.0,2.0
132,659.9999,5.54667,0.99568,4.0,2.0,2.0
133,664.9999,5.54667,0.99513,4.0,2.0,2.0
134,669.9999,5.54667,0.99523,4.0,2.0,2.0
135,674.9999,5.54667,0.99612,4.0,2.0,2.0
136,679.9999,5.54667,0.99188,4.0,2.0,2.0
137,684.9999,5.54667,0.99419,4.0,2.0,1.0
138,689.9999,5.54667,0.99577,4.0,2.0,2.0
139,694.9999,5.54667,0.99182,4.0,2.0,2.0
140,699.9999,5.54667,0.9933,4.0,2.0,2.0
141,704.9999,5.54667,0.99379,4.0,2.0,2.0
142,709.9999,5.54667,0.99378,4.0,2.0,2.0
143,714.9999,5.53333,0.98583,4.0,1.0,2.0
144,719.9999,5.54667,0.99578,4.0,2.0,2.0
145,724.9999,5.54667,0.99517,4.0,2.0,2.0
146,729.9999,5.53333,0.99122,4.0,2.0,2.0
147,734.9999,5.54667,0.99547,4.0,2.0,2.0
148,739.9999,5.54667,0.99601,4.0,2.0,2.0
149,744.9999,5.54667,0.99512,4.0,2.0,2.0
150,749.9999,5.54667,0.99466,4.0,2.0,2.0
151,754.9999,5.54667,0.99594,4.0,2.0,2.0
152,759.9999,5.54667,0.99469,4.0,2.0,2.0
153,764.9999,5.54667,0.99356,4.0,2.0,2.0
154,769.9999,5.54667,0.99538,4.0,2.0,2.0
155,774.9999,5.54667,0.99463,4.0,2.0,2.0
156,779.9999,5.54667,0.99476,4.0,2.0,2.0
157,784.9999,5.54667,0.99302,4.0,2.0,2.0
158,789.9999,5.54667,0.99436,4.0,2.0,2.0
159,794.9999,5.54667,0.99272,4.0,2.0,2.0
160,799.9999,5.54667,0.98967,4.0,1.0,2.0
161,804.9999,5.54667,0.99014,4.0,2.0,2.0
162,809.9999,5.54667,0.99429,4.0,2.0,2.0
163,814.9999,5.54667,0.99538,4.0,2.0,2.0
164,819.9999,5.54667,0.99578,4.0,2.0,2.0
165,824.9999,5.54667,0.9904,4.0,2.0,2.0
166,829.9999,5.54667,0.9935,4.0,2.0,2.0
167,834.9999,5.526669999999998,0.98791,4.0,1.0,2.0
168,839.9999,5.54667,0.99554,4.0,2.0,2.0
169,844.9999,5.54667,0.99278,4.0,2.0,2.0
170,849.9999,5.54667,0.99436,4.0,2.0,2.0
171,0.0,1.7466700000000002,0.02671,4.0,0.0,1.0
176,49.9999,5.19333,0.53574,4.0,1.0,1.0
177,59.9999,5.24667,0.54962,4.0,1.0,1.0
178,69.9999,5.20667,0.57443,4.0,1.0,1.0
180,89.9999,5.26667,0.62839,4.0,1.0,1.0
181,99.9999,5.32,0.67205,4.0,1.0,1.0
182,109.9999,5.3533300000000015,0.67709,4.0,1.0,1.0
183,119.9999,5.3133300000000006,0.70296,4.0,1.0,2.0
184,129.9999,5.30667,0.74758,4.0,1.0,2.0
185,139.9999,5.32667,0.79132,4.0,1.0,1.0
186,149.9999,5.37333,0.8257,4.0,1.0,1.0
187,159.9999,5.34667,0.8193,4.0,1.0,2.0
188,169.9999,5.37333,0.82426,4.0,1.0,2.0
189,179.9999,5.3933300000000015,0.8310700000000001,4.0,1.0,2.0
190,189.9999,5.3933300000000015,0.83673,4.0,1.0,2.0
191,199.9999,5.3933300000000015,0.8447,4.0,1.0,2.0
192,209.9999,5.3933300000000015,0.83809,4.0,1.0,2.0
193,219.9999,5.38667,0.8488,4.0,1.0,2.0
194,229.9999,5.3533300000000015,0.84225,4.0,1.0,2.0
195,239.9999,5.4,0.8595,4.0,1.0,2.0
196,249.9999,5.42667,0.89502,4.0,1.0,2.0
197,259.9999,5.54,0.98643,4.0,1.0,2.0
198,269.9999,5.56,0.99538,4.0,2.0,2.0
199,279.9999,5.56,0.99669,4.0,2.0,2.0
200,289.9999,5.54667,0.9886,4.0,1.0,2.0
201,299.9999,5.54667,0.98863,4.0,1.0,2.0
202,309.9999,5.5666699999999985,0.99581,4.0,2.0,2.0
203,319.9999,5.5666699999999985,0.9940000000000001,4.0,2.0,2.0
204,329.9999,5.5666699999999985,0.99533,4.0,2.0,2.0
205,339.9999,5.5666699999999985,0.99592,4.0,2.0,2.0
206,349.9999,5.5666699999999985,0.99507,4.0,2.0,2.0
207,359.9999,5.5666699999999985,0.99558,4.0,2.0,2.0
208,369.9999,5.5666699999999985,0.9928,4.0,2.0,2.0
209,379.9999,5.5666699999999985,0.99569,4.0,2.0,2.0
210,389.9999,5.5666699999999985,0.99621,4.0,2.0,2.0
211,399.9999,5.5666699999999985,0.99528,4.0,2.0,2.0
212,409.9999,5.5666699999999985,0.99596,4.0,2.0,2.0
213,419.9999,5.5666699999999985,0.99608,4.0,2.0,2.0
214,429.9999,5.5666699999999985,0.99516,4.0,2.0,2.0
215,439.9999,5.5666699999999985,0.99608,4.0,2.0,2.0
216,449.9999,5.5666699999999985,0.99553,4.0,2.0,2.0
217,459.9999,5.5666699999999985,0.99531,4.0,2.0,2.0
218,469.9999,5.5666699999999985,0.99569,4.0,2.0,2.0
219,479.9999,5.5666699999999985,0.99309,4.0,2.0,2.0
220,489.9999,5.5666699999999985,0.99647,4.0,2.0,2.0
221,499.9999,5.5666699999999985,0.99665,4.0,2.0,2.0
222,509.9999,5.5666699999999985,0.9947,4.0,2.0,2.0
223,519.9999,5.5666699999999985,0.99622,4.0,2.0,2.0
224,529.9999,5.5666699999999985,0.99556,4.0,2.0,2.0
225,539.9999,5.5666699999999985,0.99492,4.0,2.0,2.0
226,549.9999,5.5666699999999985,0.99281,4.0,2.0,2.0
227,559.9999,5.5666699999999985,0.99647,4.0,2.0,2.0
228,569.9999,5.5666699999999985,0.99605,4.0,2.0,2.0
229,579.9999,5.5666699999999985,0.9951,4.0,2.0,2.0
230,589.9999,5.5666699999999985,0.99561,4.0,2.0,2.0
231,599.9999,5.5666699999999985,0.99503,4.0,2.0,2.0
232,609.9999,5.5666699999999985,0.9937,4.0,2.0,2.0
233,619.9999,5.5666699999999985,0.99573,4.0,2.0,2.0
234,629.9999,5.5666699999999985,0.99438,4.0,2.0,2.0
235,639.9999,5.5666699999999985,0.99549,4.0,2.0,2.0
236,649.9999,5.5666699999999985,0.99531,4.0,2.0,2.0
237,659.9999,5.5666699999999985,0.99525,4.0,2.0,2.0
238,669.9999,5.5666699999999985,0.99541,4.0,2.0,2.0
239,679.9999,5.5666699999999985,0.99543,4.0,2.0,2.0
240,689.9999,5.5666699999999985,0.99496,4.0,2.0,2.0
241,699.9999,5.5666699999999985,0.99489,4.0,2.0,2.0
242,709.9999,5.5666699999999985,0.99638,4.0,2.0,2.0
243,719.9999,5.5666699999999985,0.99596,4.0,2.0,2.0
244,729.9999,5.5666699999999985,0.99576,4.0,2.0,2.0
245,739.9999,5.5666699999999985,0.99524,4.0,2.0,2.0
246,749.9999,5.5666699999999985,0.99663,4.0,2.0,2.0
247,759.9999,5.5666699999999985,0.9969,4.0,2.0,2.0
248,769.9999,5.5666699999999985,0.99623,4.0,2.0,2.0
249,779.9999,5.5666699999999985,0.99602,4.0,2.0,2.0
250,789.9999,5.5666699999999985,0.99436,4.0,2.0,2.0
251,799.9999,5.57333,0.99541,4.0,2.0,2.0
252,809.9999,5.57333,0.99642,4.0,2.0,2.0
253,819.9999,5.57333,0.99618,4.0,2.0,2.0
254,829.9999,5.57333,0.99572,4.0,2.0,2.0
255,839.9999,5.57333,0.99562,4.0,2.0,2.0
256,849.9999,5.57333,0.99489,4.0,2.0,2.0
258,9.9999,4.94667,0.13722,4.0,1.0,1.0
259,19.9999,4.94667,0.1646,4.0,1.0,1.0
260,29.9999,4.96,0.14346,4.0,1.0,1.0
262,49.9999,4.95333,0.14645999999999998,4.0,1.0,1.0
265,79.9999,5.00667,0.19745,4.0,1.0,1.0
267,99.9999,5.00667,0.20764,4.0,1.0,1.0
269,119.9999,5.04667,0.19429,4.0,1.0,1.0
270,129.9999,5.013330000000002,0.19102,4.0,1.0,1.0
272,149.9999,5.026669999999998,0.20114,4.0,1.0,1.0
274,169.9999,5.00667,0.20057,4.0,1.0,1.0
275,179.9999,5.026669999999998,0.22849,4.0,1.0,1.0
276,189.9999,5.06,0.23426,4.0,1.0,1.0
277,199.9999,5.06,0.24296,4.0,1.0,1.0
278,209.9999,5.05333,0.23754,4.0,1.0,1.0
279,219.9999,5.06,0.24665,4.0,1.0,1.0
280,229.9999,5.07333,0.26134,4.0,1.0,1.0
281,239.9999,5.06,0.24931,4.0,1.0,1.0
283,259.9999,5.12,0.2552,4.0,1.0,1.0
284,269.9999,5.11333,0.26572,4.0,1.0,1.0
286,289.9999,5.12,0.27802,4.0,1.0,1.0
292,349.9999,5.19333,0.34647,4.0,1.0,1.0
295,379.9999,5.19333,0.4261,4.0,1.0,1.0
296,389.9999,5.3133300000000006,0.44872,4.0,1.0,1.0
297,399.9999,5.28,0.43541,4.0,1.0,1.0
298,409.9999,5.26,0.44124,4.0,1.0,1.0
300,429.9999,5.3,0.46327,4.0,1.0,1.0
301,439.9999,5.28667,0.43391,4.0,1.0,1.0
303,459.9999,5.28,0.43847,4.0,1.0,1.0
309,519.9999,5.3,0.44999,4.0,1.0,1.0
310,529.9999,5.2733300000000005,0.43144,4.0,1.0,1.0
311,539.9999,5.32,0.44731,4.0,1.0,1.0
312,549.9999,5.28,0.4471,4.0,1.0,1.0
313,559.9999,5.28667,0.44922,4.0,1.0,1.0
314,569.9999,5.30667,0.43853,4.0,1.0,1.0
316,589.9999,5.29333,0.4228,4.0,1.0,1.0
319,619.9999,5.3133300000000006,0.4385600000000001,4.0,1.0,1.0
323,659.9999,5.29333,0.42479,4.0,1.0,1.0
324,669.9999,5.3133300000000006,0.42995,4.0,1.0,1.0
325,679.9999,5.29333,0.42564,4.0,1.0,1.0
326,689.9999,5.30667,0.4506,4.0,1.0,1.0
327,699.9999,5.28,0.43944,4.0,1.0,1.0
333,759.9999,5.32,0.43669,4.0,1.0,1.0
334,769.9999,5.28,0.4391600000000001,4.0,1.0,1.0
335,779.9999,5.3133300000000006,0.4386100000000001,4.0,1.0,1.0
336,789.9999,5.28,0.44636,4.0,1.0,1.0
337,799.9999,5.32667,0.43876,4.0,1.0,1.0
341,839.9999,5.3133300000000006,0.44548,4.0,1.0,1.0
346,29.9999,4.94,0.13579000000000002,4.0,1.0,1.0
347,39.9999,4.973330000000002,0.11849,4.0,1.0,1.0
353,99.9999,4.91333,0.14556,4.0,1.0,1.0
355,119.9999,4.94,0.12647,4.0,1.0,1.0
356,129.9999,4.95333,0.13988,4.0,1.0,1.0
357,139.9999,4.94667,0.13798,4.0,1.0,1.0
358,149.9999,4.94667,0.12183,4.0,1.0,1.0
362,189.9999,4.9333300000000015,0.1332,4.0,1.0,1.0
363,199.9999,4.973330000000002,0.11618,4.0,1.0,1.0
364,209.9999,4.96667,0.12968,4.0,1.0,1.0
367,239.9999,4.92667,0.1507,4.0,1.0,1.0
368,249.9999,4.95333,0.12541,4.0,1.0,1.0
371,279.9999,4.973330000000002,0.12625,4.0,1.0,1.0
373,299.9999,4.95333,0.1359,4.0,1.0,1.0
377,339.9999,4.94,0.13249,4.0,1.0,1.0
378,349.9999,4.96,0.13151,4.0,1.0,1.0
380,369.9999,4.94667,0.14082999999999998,4.0,1.0,1.0
381,379.9999,4.94667,0.14068,4.0,1.0,1.0
384,409.9999,4.92,0.1317,4.0,1.0,1.0
385,419.9999,4.96667,0.10408,4.0,1.0,1.0
386,429.9999,4.96,0.13660999999999998,4.0,1.0,1.0
387,439.9999,4.94667,0.1286,4.0,1.0,1.0
388,449.9999,4.94,0.13737,4.0,1.0,1.0
389,459.9999,4.94,0.13785,4.0,1.0,1.0
391,479.9999,4.99333,0.11779,4.0,1.0,1.0
392,489.9999,4.94,0.14449,4.0,1.0,1.0
393,499.9999,4.94667,0.13546,4.0,1.0,1.0
394,509.9999,4.94667,0.14987,4.0,1.0,1.0
396,529.9999,4.96667,0.14049,4.0,1.0,1.0
398,549.9999,4.96667,0.11654,4.0,1.0,1.0
401,579.9999,4.94667,0.14674,4.0,1.0,1.0
402,589.9999,4.95333,0.14652,4.0,1.0,1.0
403,599.9999,4.92,0.14303,4.0,1.0,1.0
404,609.9999,4.92,0.1253,4.0,1.0,1.0
405,619.9999,4.95333,0.14672000000000002,4.0,1.0,1.0
407,639.9999,4.90667,0.13766,4.0,1.0,1.0
410,669.9999,4.94,0.15212,4.0,1.0,1.0
413,699.9999,4.9333300000000015,0.13379000000000002,4.0,1.0,1.0
414,709.9999,4.92667,0.13055999999999998,4.0,1.0,1.0
415,719.9999,4.96667,0.1214,4.0,1.0,1.0
416,729.9999,4.94667,0.13585999999999998,4.0,1.0,1.0
419,759.9999,4.94,0.13931,4.0,1.0,1.0
420,769.9999,4.92,0.13417,4.0,1.0,1.0
424,809.9999,4.92667,0.13139,4.0,1.0,1.0
426,829.9999,4.94667,0.12693,4.0,1.0,1.0
427,839.9999,4.94,0.14346,4.0,1.0,1.0
428,849.9999,4.92,0.13326,4.0,1.0,1.0
429,0.0,1.7466700000000002,0.02671,4.0,0.0,2.0
430,9.9999,4.66,0.33254,4.0,1.0,2.0
431,19.9999,5.26,0.6362300000000001,4.0,1.0,2.0
432,29.9999,5.3133300000000006,0.78872,4.0,1.0,2.0
433,39.9999,5.4,0.8783799999999999,4.0,1.0,2.0
435,59.9999,5.486669999999998,0.98706,4.0,1.0,2.0
436,69.9999,5.50667,0.99138,4.0,2.0,2.0
437,79.9999,5.50667,0.99174,4.0,2.0,1.0
438,89.9999,5.50667,0.99481,4.0,2.0,2.0
439,99.9999,5.486669999999998,0.98689,4.0,1.0,2.0
440,109.9999,5.50667,0.99186,4.0,2.0,2.0
441,119.9999,5.513330000000002,0.99328,4.0,2.0,2.0
442,129.9999,5.513330000000002,0.99502,4.0,2.0,2.0
443,139.9999,5.49333,0.9906,4.0,2.0,2.0
444,149.9999,5.513330000000002,0.99017,4.0,2.0,2.0
445,159.9999,5.513330000000002,0.99313,4.0,2.0,2.0
446,169.9999,5.513330000000002,0.99549,4.0,2.0,2.0
448,189.9999,5.513330000000002,0.99327,4.0,2.0,2.0
449,199.9999,5.5,0.98856,4.0,1.0,2.0
450,209.9999,5.513330000000002,0.99509,4.0,2.0,2.0
451,219.9999,5.513330000000002,0.99479,4.0,2.0,2.0
452,229.9999,5.513330000000002,0.98507,4.0,1.0,2.0
453,239.9999,5.513330000000002,0.99251,4.0,2.0,2.0
454,249.9999,5.513330000000002,0.9942,4.0,2.0,2.0
455,259.9999,5.513330000000002,0.99466,4.0,2.0,2.0
456,269.9999,5.513330000000002,0.99319,4.0,2.0,2.0
457,279.9999,5.50667,0.99029,4.0,2.0,2.0
458,289.9999,5.513330000000002,0.99396,4.0,2.0,2.0
459,299.9999,5.513330000000002,0.99321,4.0,2.0,2.0
460,309.9999,5.513330000000002,0.99681,4.0,2.0,2.0
461,319.9999,5.513330000000002,0.99392,4.0,2.0,2.0
462,329.9999,5.49333,0.98972,4.0,1.0,2.0
463,339.9999,5.513330000000002,0.99583,4.0,2.0,2.0
464,349.9999,5.513330000000002,0.995,4.0,2.0,2.0
465,359.9999,5.513330000000002,0.99447,4.0,2.0,2.0
466,369.9999,5.513330000000002,0.99491,4.0,2.0,2.0
467,379.9999,5.513330000000002,0.99475,4.0,2.0,2.0
468,389.9999,5.513330000000002,0.9954,4.0,2.0,2.0
469,399.9999,5.513330000000002,0.99418,4.0,2.0,2.0
470,409.9999,5.513330000000002,0.99523,4.0,2.0,2.0
471,419.9999,5.513330000000002,0.9931,4.0,2.0,2.0
472,429.9999,5.513330000000002,0.99405,4.0,2.0,2.0
473,439.9999,5.513330000000002,0.99227,4.0,2.0,2.0
474,449.9999,5.513330000000002,0.99295,4.0,2.0,2.0
475,459.9999,5.513330000000002,0.99572,4.0,2.0,2.0
476,469.9999,5.513330000000002,0.99473,4.0,2.0,2.0
477,479.9999,5.513330000000002,0.99234,4.0,2.0,2.0
478,489.9999,5.513330000000002,0.99614,4.0,2.0,2.0
479,499.9999,5.513330000000002,0.99431,4.0,2.0,2.0
480,509.9999,5.513330000000002,0.99525,4.0,2.0,2.0
481,519.9999,5.513330000000002,0.99069,4.0,2.0,2.0
482,529.9999,5.513330000000002,0.99547,4.0,2.0,2.0
483,539.9999,5.513330000000002,0.99171,4.0,2.0,2.0
484,549.9999,5.513330000000002,0.99628,4.0,2.0,2.0
485,559.9999,5.513330000000002,0.99506,4.0,2.0,2.0
486,569.9999,5.513330000000002,0.99386,4.0,2.0,2.0
487,579.9999,5.513330000000002,0.99242,4.0,2.0,2.0
488,589.9999,5.513330000000002,0.99561,4.0,2.0,2.0
489,599.9999,5.513330000000002,0.99286,4.0,2.0,2.0
490,609.9999,5.513330000000002,0.99431,4.0,2.0,2.0
491,619.9999,5.513330000000002,0.99485,4.0,2.0,2.0
492,629.9999,5.513330000000002,0.9943,4.0,2.0,2.0
493,639.9999,5.513330000000002,0.99586,4.0,2.0,2.0
494,649.9999,5.513330000000002,0.99601,4.0,2.0,2.0
495,659.9999,5.513330000000002,0.99515,4.0,2.0,2.0
496,669.9999,5.513330000000002,0.99566,4.0,2.0,2.0
497,679.9999,5.513330000000002,0.99327,4.0,2.0,2.0
498,689.9999,5.513330000000002,0.99383,4.0,2.0,2.0
499,699.9999,5.513330000000002,0.99266,4.0,2.0,2.0
500,709.9999,5.513330000000002,0.99499,4.0,2.0,2.0
501,719.9999,5.513330000000002,0.99524,4.0,2.0,2.0
502,729.9999,5.513330000000002,0.99467,4.0,2.0,2.0
503,739.9999,5.513330000000002,0.99245,4.0,2.0,2.0
504,749.9999,5.513330000000002,0.99517,4.0,2.0,1.0
505,759.9999,5.513330000000002,0.99501,4.0,2.0,2.0
506,769.9999,5.513330000000002,0.9924,4.0,2.0,2.0
507,779.9999,5.513330000000002,0.99545,4.0,2.0,2.0
508,789.9999,5.513330000000002,0.99658,4.0,2.0,2.0
509,799.9999,5.513330000000002,0.99433,4.0,2.0,2.0
510,809.9999,5.513330000000002,0.99426,4.0,2.0,2.0
511,819.9999,5.513330000000002,0.99521,4.0,2.0,2.0
512,829.9999,5.513330000000002,0.99578,4.0,2.0,2.0
513,839.9999,5.513330000000002,0.99579,4.0,2.0,2.0
514,849.9999,5.513330000000002,0.99443,4.0,2.0,2.0
515,0.0,1.7466700000000002,0.02671,0.0,0.0,1.0
517,19.9999,4.75333,0.19431,4.0,1.0,2.0
518,29.9999,4.74,0.25934,4.0,1.0,2.0
520,49.9999,4.91333,0.40824,4.0,1.0,2.0
522,69.9999,5.11333,0.58934,4.0,1.0,2.0
523,79.9999,5.22667,0.6742100000000001,4.0,1.0,1.0
524,89.9999,5.2333300000000005,0.67081,4.0,1.0,2.0
525,99.9999,5.2733300000000005,0.6699,4.0,1.0,2.0
526,109.9999,5.29333,0.7289,4.0,1.0,2.0
527,119.9999,5.34667,0.80009,4.0,1.0,2.0
528,129.9999,5.36667,0.83854,4.0,1.0,2.0
529,139.9999,5.3933300000000015,0.8406399999999999,4.0,1.0,2.0
530,149.9999,5.44667,0.91574,4.0,1.0,2.0
531,159.9999,5.53333,0.98468,4.0,1.0,2.0
532,169.9999,5.54,0.99381,4.0,2.0,2.0
533,179.9999,5.53333,0.99236,4.0,2.0,2.0
534,189.9999,5.52,0.9835,4.0,1.0,2.0
535,199.9999,5.53333,0.99052,4.0,2.0,2.0
536,209.9999,5.53333,0.98905,4.0,1.0,2.0
537,219.9999,5.55333,0.99584,4.0,2.0,2.0
538,229.9999,5.52,0.97751,4.0,1.0,2.0
539,239.9999,5.55333,0.99211,4.0,2.0,2.0
540,249.9999,5.56,0.99559,4.0,2.0,2.0
541,259.9999,5.56,0.996,4.0,2.0,2.0
542,269.9999,5.56,0.9926,4.0,2.0,2.0
543,279.9999,5.56,0.99645,4.0,2.0,2.0
544,289.9999,5.56,0.99535,4.0,2.0,2.0
545,299.9999,5.56,0.99556,4.0,2.0,2.0
546,309.9999,5.56,0.99422,4.0,2.0,2.0
547,319.9999,5.56,0.99494,4.0,2.0,2.0
548,329.9999,5.56,0.99574,4.0,2.0,2.0
549,339.9999,5.56,0.9951,4.0,2.0,2.0
550,349.9999,5.56,0.99463,4.0,2.0,2.0
551,359.9999,5.56,0.9937,4.0,2.0,2.0
552,369.9999,5.56,0.99409,4.0,2.0,2.0
553,379.9999,5.56,0.99491,4.0,2.0,1.0
554,389.9999,5.56,0.99428,4.0,2.0,1.0
